Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,26683,27295,27697,27936,28107,28277,28456,28633,28807,28992,29166,29359,29570,29770,29923,29994,29971,29871,29749,29694,29765,30004,30400,30841,31155,31263,31084,30693,30322,30312,30878,32115,34121,36546,38984,41152,42973,44480,45791,47062,48416,49847,51322,52771,54072,55140,55950,56538,56983,57401,57889,58230,58506,58814,59110,59361,59572,59747,59897,60016,60112
Africa Eastern and Southern,AFE,111597625,114110332,116717022,119394205,122140071,124963818,127863551,130848646,133924817,137101283,140429572,143873332,147420415,151094561,154904194,158801992,162787823,166861812,171027348,175378958,179924021,184570451,189316575,194110018,198929259,203781778,208676190,213673208,218713996,223776498,228732089,233766631,238735353,243765319,249116284,254619140,260220030,265941536,271831042,277852216,283976874,290144369,296373566,302759083,309309701,315978640,322898173,330345945,337282123,344360035,351555624,358859175,366421044,374087585,381804769,389549737,397309170,405073414,412813896,420506755,428130824
Afghanistan,AFG,8241132,8373135,8512057,8657973,8810638,8970244,9133649,9300663,9475709,9665499,9872705,10095986,10327931,10557926,10772091,10958235,11121482,11259217,11343621,11340124,11220128,10990186,10673553,10312661,9962985,9670303,9430370,9247192,9178459,9365965,9783756,10470847,11392155,12424889,13398641,14194412,14759607,15136305,15416185,15736085,16192158,16816938,17569616,18387486,19163184,19829984,20378037,20836794,21257445,21714076,22257746,22904893,23632789,24404524,25165924,25877997,26530194,27131343,27694940,28244483,28796851
Africa Western and Central,AFW,82254748,83593412,84979354,86400362,87851320,89328091,90869502,92443341,94055197,95713184,97438554,99141980,100889083,102694202,104564162,106506434,108508942,110640882,112842233,115228006,117662154,119944782,122248866,124581302,126914614,129209346,131545258,133926300,136355456,138833591,141312958,144142577,147126764,150169003,153272971,156434796,159664495,162876319,166128654,169412196,172746238,175765996,178806572,181860863,184954165,188104771,191308868,194584736,197915597,201273304,204634498,208012011,211404928,214830600,218280270,221750635,225245547,228753833,232268264,235777809,239272321
Angola,AGO,4885715,4934165,4980123,5019234,5043469,5049021,5031759,4998298,4967822,4965858,5009339,5096873,5220698,5372603,5530872,5680444,5817007,5945083,6067299,6189275,6314523,6442600,6570406,6696843,6820227,6939724,7054522,7164147,7266950,7361875,7447421,7523275,7589480,7647462,7697139,7785747,7870571,7952573,8031535,8108447,8183474,8256988,8328556,8400211,8473614,8550786,8712013,8879761,9050985,9223198,9393182,9560379,9724802,9885478,10040929,10192856,10340318,10483874,10625063,10764271,10903384
Albania,ALB,1114818,1146208,1180553,1214693,1248887,1282417,1315273,1348911,1386348,1424962,1457678,1489206,1522477,1554419,1585958,1618163,1649474,1681437,1711648,1740858,1769877,1798543,1829633,1861315,1893194,1924635,1954134,1985256,2014614,2060783,2089320,2067878,2037549,2007405,1977318,1947385,1917515,1887867,1858316,1828925,1799636,1761589,1723790,1684768,1645111,1604189,1561661,1517619,1473922,1432259,1393502,1358266,1324613,1291587,1258985,1226200,1195854,1167112,1137407,1106598,1075204
Andorra,AND,5572,5610,5619,5599,5553,5480,5384,5265,5124,4974,4817,4659,4490,4315,4123,3914,3692,3467,3247,3045,2862,2700,2553,2415,2285,2159,2175,2337,2508,2690,2882,3100,3342,3591,3830,4048,4232,4386,4537,4721,4973,5350,5855,6435,7052,7662,8256,8840,9221,9365,9443,9442,9371,9259,9156,9090,9084,9124,9193,9270,9337
Arab World,ARB,63400548,64431702,65477732,66521137,67557440,68572505,69660124,70898240,72139760,73364494,74556351,75735623,76871187,78045878,79402531,80940789,82668097,84584491,86607837,88669221,90683690,92644220,94577774,96435506,98195561,99977819,101746880,103614173,105617086,107709827,110446656,112574750,114664124,116867453,119265286,121755534,124158389,126415325,128531568,130621374,132731950,134837866,136973273,139111093,141291859,143402954,145536684,148138443,150318609,152482977,154587000,156913189,159352704,161747912,164111399,166207272,168301536,170369984,172447508,174564029,176735820
United Arab Emirates,ARE,24491,25822,27750,29915,31863,33383,34383,35190,36889,41027,47371,56048,66856,79714,94426,110756,128204,146290,164518,181598,196663,211831,227535,242657,258458,275911,294716,314649,336169,359010,383039,408624,436034,464747,494048,523618,546089,562642,580141,598841,619417,638912,658635,687747,737592,813859,919686,1047285,1177776,1287206,1360561,1393640,1394185,1373616,1347574,1327002,1313813,1304681,1298062,1290784,1281005
Argentina,ARG,5404937,5367317,5337547,5305828,5271909,5236545,5198820,5159782,5119956,5081215,5043575,5016635,4993993,4971706,4948090,4922516,4894161,4864372,4833373,4803038,4773934,4728848,4676523,4625159,4573268,4520960,4468234,4414777,4359863,4303671,4245643,4191771,4177083,4160658,4142081,4122262,4100563,4077785,4053893,4028898,4003431,3977684,3952815,3928382,3903086,3877236,3850408,3823186,3795591,3768543,3732551,3717660,3705497,3693179,3679391,3664923,3649822,3634137,3617403,3599141,3579773
